hour,month,solar_actual,solar_predicted,solar_cloud_cover,load_actual,load_predicted,cloud_bucket,solar_sigma_bucketed,hour_bucket,load_sigma_bucketed
0,1,0.0,0.0,0,1.470333333,2.233948671995709,Clear (0-20%),0.08508357820987383,Night (0-5),0.26623059475148414
0,2,0.0,0.0,99,1.538366667,1.3779128811083403,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,3,0.0,0.0,7,0.312833333,0.4247471470181964,Clear (0-20%),0.08508357820987383,Night (0-5),0.26623059475148414
0,4,0.0,0.0,100,0.415833333,0.5289655789891115,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,5,0.0,0.0,58,0.5976,0.5835123982075787,Partly Cloudy (21-60%),0.13169999380988817,Night (0-5),0.26623059475148414
0,6,0.0,0.0,100,0.352833333,0.4363735444776246,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,7,0.0,0.0,88,1.689566667,0.9740204767271337,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,8,0.0,0.0,100,0.317066667,0.3750148394271562,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,9,0.0,0.0,100,0.904966667,0.5681153068581682,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,10,0.0,0.0,69,0.370433333,0.3891863203910183,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
0,11,0.0,0.0,99,0.3769,0.4926433360468549,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,1,0.0,0.0,0,1.429566667,1.116680751612117,Clear (0-20%),0.08508357820987383,Night (0-5),0.26623059475148414
2,2,0.0,0.0,0,0.330866667,1.20823880668695,Clear (0-20%),0.08508357820987383,Night (0-5),0.26623059475148414
2,3,0.0,0.0,100,0.3346,0.4355735150889808,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,4,0.0,0.0,100,0.351,0.3377154786768855,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,5,0.0,0.0,29,0.307,0.3769192505354075,Partly Cloudy (21-60%),0.13169999380988817,Night (0-5),0.26623059475148414
2,6,0.0,0.0,100,0.564833333,0.3494178726617051,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,7,0.0,0.0,100,0.706833333,0.974066942030295,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,8,0.0,0.0,39,0.335066667,0.3100733647150384,Partly Cloudy (21-60%),0.13169999380988817,Night (0-5),0.26623059475148414
2,9,0.0,0.0,99,0.327933333,0.461485733007052,Overcast (61-100%),0.13859155046631544,Night (0-5),0.26623059475148414
2,10,0.0,0.0,0,0.3412,0.6258078478301515,Clear (0-20%),0.08508357820987383,Night (0-5),0.26623059475148414
