DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,YEAR,MO,DY,HR,T2M,QV2M,WS10M,PRECTOTCORR,ALLSKY_SFC_UV_INDEX,hour,day_of_week,month,is_weekend,power_lag_1,power_lag_2,power_lag_3,power_lag_12,power_lag_24,power_lag_48,power_lag_168,rolling_mean_3h,rolling_mean_24h,rolling_std_24h,rolling_mean_168h
2006-12-23 17:00:00,5.452533333,0.215966667,233.6441667,23.36,16.18333333,0.666666667,16.75,2006.0,12.0,23.0,17.0,-3.68,3.05,2.52,0.0,0.0,17,5,12,1,4.3491,4.0491,3.757966667,2.2291,1.4968,1.752633333,4.222888889,4.052055555666667,2.934890277875,0.9901868579613431,1.7639455003630953
2006-12-23 18:00:00,3.8794,0.099766667,238.0005,16.36333333,0.0,0.016666667,17.35,2006.0,12.0,23.0,18.0,-3.58,3.11,2.48,0.0,0.0,18,5,12,1,5.452533333,4.3491,4.0491,1.649366667,2.686966667,2.4433,3.6322,4.616911111,3.099712500083333,1.0666738318537747,1.771264812529762
2006-12-23 19:00:00,4.117833333,0.205333333,238.7293333,17.3,0.0,0.6,17.46666667,2006.0,12.0,23.0,19.0,-3.08,3.05,2.55,0.0,0.0,19,5,12,1,3.8794,5.452533333,4.3491,4.023366667,3.938166667,2.197133333,3.400233333,4.560344444333334,3.1493972222916664,1.0743561918011488,1.7727362411011904
2006-12-23 20:00:00,4.1814,0.124766667,238.5188333,17.59666667,0.0,0.35,17.41666667,2006.0,12.0,23.0,20.0,-3.01,2.93,3.08,0.01,0.0,20,5,12,1,4.117833333,3.8794,5.452533333,4.190833333,3.536066667,2.437366667,3.268566667,4.483255555333334,3.1568833333750006,1.0806985357067915,1.777007669672619
2006-12-23 21:00:00,3.288433333,0.235766667,238.5946667,13.89333333,0.0,0.216666667,5.666666667,2006.0,12.0,23.0,21.0,-3.27,2.81,2.58,0.01,0.0,21,5,12,1,4.1814,4.117833333,3.8794,3.2464,4.548666667,0.982266667,3.056466667,4.0595444443333335,3.1837722222500004,1.0984260791306082,1.7824412014166668
2006-12-23 22:00:00,4.327933333,0.289033333,238.1903333,18.31,14.43333333,0.5,0.0,2006.0,12.0,23.0,22.0,-3.15,2.81,2.38,0.0,0.0,22,5,12,1,3.288433333,4.1814,4.117833333,2.972166667,3.065066667,0.280266667,2.200133333,3.8625555553333335,3.1312625,1.0597838003611668,1.7838219553809527
2006-12-23 23:00:00,5.562466667,0.128066667,239.8715,23.3,12.6,0.033333333,15.66666667,2006.0,12.0,23.0,23.0,-3.17,2.81,2.18,0.0,0.0,23,5,12,1,4.327933333,3.288433333,4.1814,3.159,2.4192,0.270433333,2.0616,3.932588888666667,3.1838819444166666,1.0873471313365133,1.7964874315714283
2006-12-24 00:00:00,4.028,0.090666667,239.1126667,17.08,0.0,0.5,17.53333333,2006.0,12.0,24.0,0.0,-3.27,2.81,2.01,0.0,0.0,0,6,12,1,5.562466667,4.327933333,3.288433333,2.9288,1.698233333,0.266933333,1.882466667,4.392944444333334,3.314851388875,1.1768547239555756,1.8173259236369046
2006-12-24 01:00:00,3.2757,0.051766667,237.6106667,14.01666667,7.283333333,0.033333333,17.3,2006.0,12.0,24.0,1.0,-3.4,2.75,1.96,0.0,0.0,1,6,12,1,4.028,5.562466667,4.327933333,3.4063,1.7228,0.272,3.3494,4.639466666666666,3.4119249999999997,1.13297741812073,1.8300969553809523
2006-12-24 02:00:00,2.303033333,0.103733333,244.4326667,10.06666667,7.683333333,0.366666667,3.666666667,2006.0,12.0,24.0,2.0,-3.52,2.69,1.85,0.0,0.0,2,6,12,1,3.2757,4.028,5.562466667,3.757966667,1.700766667,0.267633333,1.587266667,4.288722222333334,3.4766291666666667,1.0751866364563267,1.829658264904762
2006-12-24 03:00:00,1.606766667,0.0719,246.862,7.346666667,0.0,0.15,0.0,2006.0,12.0,24.0,3.0,-3.67,2.69,1.75,0.0,0.0,3,6,12,1,2.303033333,3.2757,4.028,4.0491,1.771533333,0.273866667,1.6622,3.2022444443333336,3.5017236110833334,1.0383333424213947,1.8339187807738095
2006-12-24 04:00:00,1.5761,0.0679,245.8661667,7.266666667,0.0,0.05,0.0,2006.0,12.0,24.0,4.0,-3.83,2.62,1.6,0.0,0.0,4,6,12,1,1.606766667,2.303033333,3.2757,4.3491,1.8916,0.264266667,2.215766667,2.3951666666666673,3.494858333333333,1.0507410064839997,1.8335888204583333
2006-12-24 05:00:00,1.6319,0.108466667,245.8356667,7.533333333,0.0,0.466666667,0.0,2006.0,12.0,24.0,5.0,-3.95,2.62,1.41,0.0,0.0,5,6,12,1,1.5761,1.606766667,2.303033333,5.452533333,2.2291,0.806833333,1.996733333,1.828633333333334,3.4817125,1.073400771829541,1.8297812807738096
2006-12-24 06:00:00,1.8952,0.050666667,245.5908333,8.446666667,0.0,0.0,0.0,2006.0,12.0,24.0,6.0,-4.03,2.56,1.22,0.0,0.0,6,6,12,1,1.6319,1.5761,1.606766667,3.8794,1.649366667,0.479633333,1.3033,1.604922222333334,3.4568291666666666,1.1099992141303756,1.8276096537916666
2006-12-24 07:00:00,1.4764,0.099666667,242.7953333,6.97,0.0,0.516666667,0.0,2006.0,12.0,24.0,7.0,-4.1,2.56,1.14,0.0,0.0,7,6,12,1,1.8952,1.6319,1.5761,4.117833333,4.023366667,1.7232,1.620033333,1.7010666666666674,3.4670722222083334,1.093608044313589,1.8311328680773808
2006-12-24 08:00:00,1.427766667,0.052266667,241.6986667,6.596666667,0.0,0.0,0.0,2006.0,12.0,24.0,8.0,-3.8,2.56,1.23,0.0,0.05,8,6,12,1,1.4764,1.8952,1.6319,4.1814,4.190833333,2.7444,1.890566667,1.667833333333334,3.3609486110833333,1.1589073910248913,1.8302779077619047
2006-12-24 09:00:00,2.725666667,0.0939,239.8898333,11.81,0.0,0.383333333,14.38333333,2006.0,12.0,24.0,9.0,-3.19,2.62,1.25,0.0,0.1,9,6,12,1,1.427766667,1.4764,1.8952,3.288433333,3.2464,1.8963,2.549066667,1.5997888890000003,3.245820833333333,1.20904029304213,1.827523145857143
2006-12-24 10:00:00,2.675333333,0.1063,236.6981667,11.37666667,0.0,8.666666667,17.16666667,2006.0,12.0,24.0,10.0,-2.35,2.75,1.09,0.0,0.2,10,6,12,1,2.725666667,1.427766667,1.4764,4.327933333,2.972166667,1.344966667,3.6289,1.876611111333334,3.224123611125,1.2136929890621595,1.828574336333333
2006-12-24 11:00:00,2.092933333,0.115533333,237.6681667,8.813333333,0.0,1.566666667,17.3,2006.0,12.0,24.0,11.0,-1.16,2.87,0.88,0.0,0.23,11,6,12,1,2.675333333,2.725666667,1.427766667,5.562466667,3.159,1.252566667,2.471,2.2762555556666673,3.211755555541666,1.2178773884449534,1.8228983442678572
2006-12-24 12:00:00,1.5,0.219066667,236.9323333,6.446666667,0.0,6.316666667,2.083333333,2006.0,12.0,24.0,12.0,-0.21,2.93,0.91,0.0,0.23,12,6,12,1,2.092933333,2.675333333,2.725666667,4.028,2.9288,1.228466667,1.915866667,2.497977777666667,3.1673361110833333,1.2391408067071132,1.820647947440476
2006-12-24 13:00:00,3.239933333,0.159,237.2963333,13.78666667,0.0,30.51666667,5.716666667,2006.0,12.0,24.0,13.0,0.05,2.99,1.13,0.0,0.12,13,6,12,1,1.5,2.092933333,2.675333333,3.2757,3.4063,0.6719,1.660766667,2.089422222000001,3.1078027777500004,1.2845885417694012,1.818172550613095
2006-12-24 14:00:00,1.371533333,0.1094,243.928,5.643333333,0.0,1.533333333,10.05,2006.0,12.0,24.0,14.0,-0.34,3.11,1.26,0.0,0.05,14,6,12,1,3.239933333,1.5,2.092933333,2.303033333,3.757966667,0.815566667,2.092633333,2.2776222220000006,3.100870833291667,1.283356032563345,1.8275723521964284
2006-12-24 15:00:00,3.096833333,0.2334,243.1828333,12.82333333,6.55,30.61666667,0.0,2006.0,12.0,24.0,15.0,-1.9,3.05,1.24,0.0,0.02,15,6,12,1,1.371533333,3.239933333,1.5,1.606766667,4.0491,1.451633333,2.9854,2.037155555333334,3.0014361110416665,1.3220965097441872,1.8232800902916666
2006-12-24 16:00:00,2.007133333,0.1261,243.8806667,8.313333333,6.866666667,0.866666667,9.65,2006.0,12.0,24.0,16.0,-2.74,3.05,1.58,0.0,0.0,16,6,12,1,3.096833333,1.371533333,3.239933333,1.5761,4.3491,1.5712,3.326033333,2.5694333330000005,2.96175833325,1.3034455734089676,1.8239433839404764
2006-12-24 17:00:00,1.6865,0.097833333,238.0203333,7.13,0.0,0.516666667,0.0,2006.0,12.0,24.0,17.0,-3.02,3.05,1.76,0.0,0.0,17,6,12,1,2.007133333,3.096833333,1.371533333,1.6319,5.452533333,1.4968,3.406766667,2.158499999666667,2.8641763887916665,1.2825649686889518,1.8160927887023808
2006-12-24 18:00:00,0.5052,0.1194,241.1563333,2.11,0.0,0.6,0.0,2006.0,12.0,24.0,18.0,-3.17,3.11,1.8,0.0,0.0,18,6,12,1,1.6865,2.007133333,3.096833333,1.8952,3.8794,2.686966667,3.6971,2.2634888886666675,2.70725833325,1.1782586276449134,1.805853106160714
2006-12-24 19:00:00,0.454033333,0.057233333,241.4198333,1.85,0.0,0.0,0.0,2006.0,12.0,24.0,19.0,-3.06,3.11,1.76,0.0,0.0,19,6,12,1,0.5052,1.6865,2.007133333,1.4764,4.117833333,3.938166667,2.9084,1.3996111110000007,2.5666666665833335,1.2323803137528846,1.7868537013988093
2006-12-24 20:00:00,0.4741,0.075366667,241.9423333,1.956666667,0.0,0.0,0.0,2006.0,12.0,24.0,20.0,-2.7,3.11,1.73,0.0,0.0,20,6,12,1,0.454033333,0.5052,1.6865,1.427766667,4.1814,3.536066667,3.3615,0.8819111110000005,2.41400833325,1.2585239878038756,1.7722443760000002
2006-12-24 21:00:00,0.484033333,0.100633333,242.2081667,2.003333333,0.0,0.583333333,0.0,2006.0,12.0,24.0,21.0,-2.53,3.05,2.07,0.0,0.0,21,6,12,1,0.4741,0.454033333,0.5052,2.725666667,3.288433333,4.548666667,3.040766667,0.47777777766666724,2.2595374999166666,1.2596790784972984,1.755057471238095
2006-12-24 22:00:00,0.479766667,0.085966667,243.3781667,1.97,0.0,0.0,0.0,2006.0,12.0,24.0,22.0,-2.65,2.99,2.1,0.0,0.0,22,6,12,1,0.484033333,0.4741,0.454033333,2.675333333,4.327933333,3.065066667,1.518,0.47072222200000063,2.1426874999166663,1.2897976927627341,1.739838820440476
2006-12-24 23:00:00,0.486333333,0.102166667,243.0923333,2.013333333,0.0,0.45,0.0,2006.0,12.0,24.0,23.0,-2.81,2.93,2.19,0.0,0.0,23,6,12,1,0.479766667,0.484033333,0.4741,2.092933333,5.562466667,2.4192,0.437733333,0.47930000000000056,1.9823472221666665,1.244733012465186,1.7336588601249998
